Year Month Day Hour Minute Second V1 V2 I1 I2 P1 P2 SU_MS SU_Stability MS MS_RPM Gen_RPM SU_P_1_target SU_Gen_Start_Counter Relais_state wind_v1 wind_v1_mean wind_v1_cut_out wind_status Battery_full MS_DCDC_PWM Dumpload Short_Break MPPT_MODE MPPT_delta_wind_v1 MPPT_delta_wind_v1_Reason MPPT_DCDC_PWM MPPT_omega_stern MPPT_omega_opt MPPT_kopt*10^6 MPPT_P_2_opt MPPT_delta_P_2 MPPT_delta_Omega Codepoint
2019 04 16 20 53 18 39.705 11.717 Nan -2.351 Nan -27.54 130 6 0 119 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 20 39.596 11.684 Nan -2.503 Nan -29.24 140 6 0 122 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 21 39.534 11.664 Nan -2.549 Nan -29.74 140 6 0 129 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 23 39.438 11.635 Nan -2.725 Nan -31.71 150 6 0 132 0 0.00 0 1 2.00 2.00 8.00 2 0 71 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 23 39.384 11.633 Nan -2.741 Nan -31.89 150 6 0 140 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 24 39.888 11.618 Nan -2.836 Nan -32.95 150 6 0 142 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 25 39.834 11.611 Nan -2.798 Nan -32.49 150 6 0 142 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 27 39.725 11.577 Nan -2.988 Nan -34.59 160 6 0 145 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 28 39.728 11.578 Nan -2.933 Nan -33.95 160 6 0 150 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 30 39.552 11.543 Nan -3.181 Nan -36.72 170 6 0 155 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 31 39.518 11.529 Nan -3.207 Nan -36.97 170 6 0 155 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 33 39.435 11.504 Nan -3.328 Nan -38.28 180 6 0 161 0 0.00 0 1 2.00 2.00 8.00 2 0 70 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 34 39.365 11.491 Nan -3.380 Nan -38.84 180 6 0 166 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 35 39.886 11.479 Nan -3.423 Nan -39.29 180 6 0 169 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 36 39.842 11.475 Nan -3.462 Nan -39.73 180 6 0 172 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 38 39.772 11.453 Nan -3.568 Nan -40.86 190 6 0 173 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 38 39.707 11.438 Nan -3.664 Nan -41.91 190 6 0 178 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 40 39.583 11.415 Nan -3.799 Nan -43.36 200 6 0 183 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 41 39.604 11.412 Nan -3.771 Nan -43.04 200 6 0 189 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 43 39.469 11.386 Nan -3.901 Nan -44.41 210 6 0 193 0 0.00 0 1 2.00 2.00 8.00 2 0 69 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 44 39.430 11.371 Nan -3.972 Nan -45.16 210 6 0 197 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 45 39.948 11.364 Nan -4.016 Nan -45.65 210 6 0 200 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 46 39.901 11.358 Nan -4.084 Nan -46.38 210 6 0 200 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 48 39.772 11.321 Nan -4.272 Nan -48.36 220 6 0 201 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 49 39.831 11.331 Nan -4.236 Nan -48.00 220 6 0 208 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 51 39.661 11.301 Nan -4.356 Nan -49.23 230 6 0 208 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 52 39.642 11.289 Nan -4.410 Nan -49.79 230 6 0 216 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 54 39.526 11.260 Nan -4.617 Nan -51.99 240 6 0 218 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 54 39.503 11.259 Nan -4.640 Nan -52.24 240 6 0 224 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 53 56 39.290 11.214 Nan -4.900 Nan -54.95 250 6 0 227 0 0.00 0 1 2.00 2.00 8.00 2 0 68 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 53 57 39.329 11.218 Nan -4.781 Nan -53.64 250 6 0 232 0 0.00 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 58 39.821 11.215 Nan -4.855 Nan -54.45 250 6 0 232 0 0.00 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 4 
2019 04 16 20 53 59 39.881 11.209 Nan -4.949 Nan -55.47 250 6 0 233 0 0.00 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 01 39.617 11.155 Nan -5.247 Nan -58.53 255 6 0 240 0 0.00 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 02 39.692 11.173 Nan -5.161 Nan -57.66 255 6 0 240 0 0.00 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 04 39.666 11.167 Nan -5.140 Nan -57.40 255 6 0 241 0 -57.66 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 05 39.586 11.153 Nan -5.204 Nan -58.04 255 6 0 238 0 -57.66 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
2019 04 16 20 54 07 39.580 11.147 Nan -5.252 Nan -58.55 255 6 0 239 0 -58.04 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 6 
2019 04 16 20 54 08 39.645 11.151 Nan -5.054 Nan -56.36 255 6 0 241 0 -58.04 0 1 2.00 2.00 8.00 2 0 67 0 0 0 0 0 240 0.00 0.00 0.00 0.00 0.00 0.00 5 
