Hour Minute Second RPM v1 RPM_ct wind_ct
19 34 39 71.09 4.39 636 33
19 34 42 71.60 5.17 639 33
19 34 45 71.94 5.17 643 30
19 34 48 71.77 4.70 646 35
19 34 51 72.38 5.48 650 32
19 34 54 72.90 5.01 654 32
19 34 57 73.44 5.01 657 30
19 35 0 73.98 4.70 661 31
19 35 3 74.72 4.86 665 34
19 35 6 75.28 5.33 669 33
19 35 9 75.57 5.17 672 35
19 35 12 76.43 5.48 676 34
19 35 15 76.92 5.33 680 33
19 35 18 77.52 5.17 684 39
19 35 21 78.23 6.11 688 30
19 35 24 78.43 4.70 692 33
19 35 27 79.16 5.17 696 34
19 35 30 79.47 5.33 700 29
19 35 33 79.58 4.54 704 34
19 35 36 80.11 5.33 708 24
19 35 39 80.54 3.76 712 27
19 35 42 80.65 4.23 716 30
19 35 45 81.41 4.70 720 26
19 35 48 81.41 4.07 724 22
19 35 51 81.74 3.45 728 25
19 35 54 82.19 3.92 732 27
19 35 57 82.19 4.23 736 24
19 36 0 82.64 3.76 740 33
19 36 3 82.76 5.17 744 29
19 36 6 83.10 4.54 748 29
19 36 9 83.45 4.54 753 29
19 36 12 83.68 4.54 757 25
19 36 15 83.68 3.92 761 32
19 36 18 84.15 5.01 765 32
19 36 21 84.51 5.01 769 33
19 36 24 85.11 5.17 774 38
19 36 27 86.08 5.95 778 36
19 36 30 86.58 5.64 782 34
19 36 33 87.21 5.33 787 32
19 36 36 87.98 5.01 791 34
19 36 39 88.50 5.33 795 31
19 36 42 89.29 4.86 800 31
19 36 45 89.55 4.86 804 26
19 36 48 90.36 4.07 809 29
19 36 51 90.23 4.54 813 32
19 36 54 90.63 5.01 818 21
19 36 57 91.74 3.29 823 23
19 37 0 92.31 3.60 827 30
19 37 3 93.02 4.70 832 23
19 37 6 93.02 3.60 836 20
19 37 9 93.75 3.13 841 27
19 37 12 94.49 4.23 846 25
19 37 15 95.09 3.92 851 26
19 37 18 96.15 4.07 855 23
19 37 21 96.93 3.60 860 21
19 37 24 97.88 3.29 865 24
19 37 27 98.36 3.76 870 24
19 37 30 99.17 3.76 875 27
19 37 33 99.83 4.23 880 27
19 37 36 100.33 4.23 885 22
19 37 39 101.18 3.45 890 25
19 37 42 102.39 3.92 895 31
19 37 45 103.27 4.86 900 26
19 37 48 104.53 4.07 905 27
19 37 51 105.08 4.23 911 21
19 37 54 105.82 3.29 916 22
19 37 57 106.95 3.45 921 22
19 38 0 109.29 3.45 927 26
19 38 3 110.70 4.07 932 31
19 38 6 112.36 4.86 938 29
19 38 9 113.42 4.54 943 29
19 38 12 115.16 4.54 949 23
19 38 15 116.96 3.60 955 28
19 38 18 118.58 4.39 961 24
19 38 21 120.24 3.76 967 28
19 38 24 122.95 4.39 973 27
19 38 27 124.48 4.23 979 30
19 38 30 127.66 4.70 986 32
19 38 33 129.87 5.01 992 34
19 38 36 131.87 5.33 999 32
19 38 39 134.83 5.01 1005 29
19 38 42 137.61 4.54 1012 24
19 38 45 140.85 3.76 1019 29
19 38 48 143.54 4.54 1026 32
19 38 51 148.15 5.01 1034 34
19 38 54 152.28 5.33 1041 35
19 38 57 157.48 5.48 1049 32
19 39 0 163.04 5.01 1057 40
19 39 3 166.20 6.27 1065 34
19 39 6 169.49 5.48 1074 36
19 39 9 169.97 5.64 1082 31
19 39 12 169.01 4.86 1091 31
19 39 15 159.15 4.86 1099 25
19 39 18 122.95 3.92 1106 23
19 39 21 96.15 3.60 1111 23
19 39 24 73.53 3.60 1115 22
19 39 27 54.95 3.45 1118 26
19 39 30 42.74 4.07 1120 25
19 39 33 29.87 3.92 1122 20
19 39 36 22.30 3.13 1123 19
19 39 39 0 2.98 1123 25
19 39 42 999 3.92 1125 24
19 39 45 0 3.76 1125 27
19 39 48 0 4.23 1125 23
19 39 51 0 3.60 1125 29
19 39 54 0 4.54 1125 34
19 39 57 0 5.33 1125 25
19 40 0 0 3.92 1125 25
19 40 3 0 3.92 1125 28
19 40 6 0 4.39 1125 31
19 40 9 0 4.86 1125 32
19 40 12 0 5.01 1125 34
19 40 15 0 5.33 1125 28
19 40 18 0 4.39 1125 28
19 40 21 0 4.39 1125 32
19 40 24 0 5.01 1125 39
19 40 27 0 6.11 1125 41
19 40 30 0 6.42 1125 36
19 40 33 0 5.64 1125 29
19 40 36 0 4.54 1125 29
19 40 39 0 4.54 1125 27
19 40 42 0 4.23 1125 32
19 40 45 0 5.01 1125 36
19 40 48 0 5.64 1125 37
19 40 51 0 5.80 1125 34
19 40 54 0 5.33 1125 35
19 40 57 0 5.48 1125 36
19 41 0 0 5.64 1125 35
19 41 3 0 5.48 1125 32
19 41 6 0 5.01 1125 26
19 41 9 0 4.07 1125 29
19 41 12 0 4.54 1125 26
19 41 15 0 4.07 1125 25
19 41 18 0 3.92 1125 27
19 41 21 0 4.23 1125 21
19 41 24 0 3.29 1125 22
19 41 27 0 3.45 1125 25
19 41 30 0 3.92 1125 30
19 41 33 0 4.70 1125 33
19 41 36 0 5.17 1125 36
19 41 39 0 5.64 1125 34
19 41 42 0.49 5.33 1126 32
19 41 45 999 5.01 1127 31
19 41 48 0 4.86 1127 33
19 41 51 10.98 5.17 1128 30
19 41 54 15.88 4.70 1129 24
19 41 57 18.67 3.76 1130 27
19 42 0 20.19 4.23 1131 25
19 42 3 21.76 3.92 1132 24
19 42 6 24.47 3.76 1134 21
19 42 9 25.34 3.29 1135 19
19 42 12 25.50 2.98 1136 20
19 42 15 20.42 3.13 1137 17
19 42 18 14.52 2.66 1138 24
19 42 21 999 3.76 1139 24
19 42 24 0 3.76 1139 14
19 42 27 0 2.19 1139 18
19 42 30 0 2.82 1139 17
19 42 33 0 2.66 1139 19
19 42 36 0 2.98 1139 19
19 42 39 0 2.98 1139 23
19 42 42 0 3.60 1139 24
19 42 45 0 3.76 1139 22
19 42 48 0 3.45 1139 31
19 42 51 0 4.86 1139 27
19 42 54 0 4.23 1139 29
19 42 57 0 4.54 1139 27
19 43 0 0 4.23 1139 28
19 43 3 0 4.39 1139 27
19 43 6 0 4.23 1139 23
19 43 9 0 3.60 1139 26
19 43 12 0 4.07 1139 28
19 43 15 0 4.39 1139 27
19 43 18 0 4.23 1139 28
19 43 21 0 4.39 1139 27
19 43 24 0 4.23 1139 30
19 43 27 0 4.70 1139 23
19 43 30 0 3.60 1139 22
19 43 33 0 3.45 1139 22
19 43 36 0 3.45 1139 22
19 43 39 0 3.45 1139 21
19 43 42 0 3.29 1139 19
19 43 45 0 2.98 1139 22
19 43 48 0 3.45 1139 25
19 43 51 0 3.92 1139 22
19 43 54 0 3.45 1139 21
19 43 57 0 3.29 1139 28
19 44 0 0 4.39 1139 28
19 44 3 0 4.39 1139 24
19 44 6 0 3.76 1139 27
19 44 9 0 4.23 1139 29
19 44 12 0 4.54 1139 31
19 44 15 0 4.86 1139 25
19 44 18 0 3.92 1139 25
19 44 21 0 3.92 1139 24
19 44 24 0 3.76 1139 23
19 44 27 0 3.60 1139 21
19 44 30 0 3.29 1139 20
19 44 33 0 3.13 1139 19
19 44 36 0 2.98 1139 21
19 44 39 0 3.29 1139 21
19 44 42 0 3.29 1139 22
19 44 45 0 3.45 1139 21
19 44 48 0 3.29 1139 20
19 44 51 0 3.13 1139 17
19 44 54 0 2.66 1139 14
19 44 57 0 2.19 1139 12
19 45 0 0 1.88 1139 16
19 45 3 0 2.51 1139 16
19 45 6 0 2.51 1139 16
19 45 9 0 2.51 1139 18
19 45 12 0 2.82 1139 21
19 45 15 0 3.29 1139 21
19 45 18 0 3.29 1139 21
19 45 21 0 3.29 1139 24
19 45 24 0 3.76 1139 22
19 45 27 0 3.45 1139 18
19 45 30 0 2.82 1139 18
19 45 33 0 2.82 1139 18
19 45 36 0 2.82 1139 20
19 45 39 0 3.13 1139 19
19 45 42 0 2.98 1139 18
19 45 45 0 2.82 1139 19
